row,"""Cf_H4AR15P25""","""Cf_Double_Pink""","""Cf_Comco_No1_Cherokee_Brave""","""Cf_Appalachian_Joy""","""Cf_Jeans_Appalachian_Snow""","""Cf_Cherokee_Princess""","""Cf_Kays_Appalachian_Mist""","""Cf_Karens_Appalachian_Blush""","""Cf_Appalachian_Spring_Maryland""","""Cf_Grovflor_Spring_Grove""","""Cf_Pluribracheata_(2)""","""Cf_Cherokee_Chief_(2)""","""Cf_Little_Princess""","""Cf_First_Lady_(2)""","""Cf_Spring_Song""","""Cf_Cloud_Nine""","""Cf_Pygmaea""","""Cf_ssp._urbiniana_Rutgers""","""Cf_H3G2R01P14""","""Cf_50820H_Missouri""","""Cf_50847J_Missouri""","""Cf_66345P_Missouri""","""Cf_66345L_Missouri""","""Cf_66345J_Missouri""","""Cf_Red_Beauty""","""Cf_rubra_H4A""","""Cf_Xanthocarpa""","""Cf_Fastigiata""","""Cf_D9999-0570.001_Ohio""","""Cf_D9999-0573.001_Ohio""","""Cf_D9999-0569.001_Ohio""","""Cf_Encore""","""Cf_Xanthocarpa_Rutgers""","""Cf_439-71*6_Michigan""","""Cf_439-71*4_Michigan""","""Cf_321-51*68_Michigan""","""Cf_321-51*85_Michigan""","""Cf_ssp._urbiniana_Morris""","""Cf_White_Cloud""","""Cf_Super_Princess""","""Cf_Red_Pygmy""","""Cf_H4AR15P28""","""Cf_H4AR15P35""","""Cf_Dixie_Colonnade""","""Cf_Rainbow""","""Cf_Fragrant_Cloud""","""Cf_Jaunita""","""Cf_Pluribracteata_Group""","""Cf_Purple_Glory""","""Cf_Springtime""","""Cf_Sterling_Silver""","""Cf_ssp._urbiniana_USNA""","""Cf_Super""","""Cf_Sweetwater_Red_USNA""","""Cf_ssp._urbiniana_SpringMeadow""","""Cf_Powell_Peach_(2)"""
"""Cf_H4AR15P25""",NA,0.145736222,0.083014746,0.091267147,0.090933658,0.091106291,0.073012439,0.096289274,0.097079502,0.091081594,0.109770972,0.100229327,0.090119435,0.097587422,0.109505806,0.030080305,0.093840033,0.18597605,0.115556761,0.097821675,0.091316147,0.098168597,0.094614658,0.100162866,0.105613701,0.096512571,0.101325758,0.10349026,0.089664613,0.08897904,0.092075064,0.089576547,0.114669562,0.096839821,0.105858311,0.106697397,0.103434289,0.095051379,0.034245652,0.088891896,0.121376321,0.098927463,0.066488614,0.099417727,0.098919649,0.089137332,0.090847549,0.099034145,0.095719629,0.091118957,0.106222412,0.190282223,0.097768936,0.123158928,0.09430605,0.069218593
"""Cf_Double_Pink""",NA,NA,0.058710562,0.119655785,0.11664625,0.114886069,0.109643149,0.051921504,0.110157952,0.111748634,0.119628973,0.003396278,0.117622951,0.12953863,0.003532609,0.123268888,0.118524658,0.215053763,0.068913755,0.113837764,0.113630156,0.07240678,0.065769806,0.127633379,0.04456596,0.060968971,0.114289606,0.117743254,0.110759058,0.116310706,0.112666485,0.116810286,0.128127991,0.12085211,0.123919308,0.119655785,0.115515597,0.118768728,0.114751869,0.109854164,0.055305817,0.044911882,0.111992071,0.129157667,0.123709596,0.11849711,0.039258451,0.108400713,0.037543615,0.108603474,0.128532492,0.21568915,0.114101646,0.086170363,0.113748321,0.026395939
"""Cf_Comco_No1_Cherokee_Brave""",NA,NA,NA,0.074074074,0.077673851,0.076943991,0.062304873,0.063306616,0.074732131,0.071972789,0.086164719,0.05468327,0.073363278,0.083322006,0.038612654,0.046168556,0.079345435,0.16620899,0.065705346,0.078636425,0.080963396,0.071196974,0.067298578,0.087069083,0.063513698,0.040796964,0.080211726,0.082541406,0.073926759,0.075545911,0.076516793,0.076692549,0.087614116,0.078607371,0.082307903,0.085306122,0.079761259,0.081502577,0.077339835,0.074416078,0.073691366,0.067289984,0.073593684,0.080155139,0.077235772,0.076480388,0.052417165,0.074539249,0.066175448,0.074921673,0.084726389,0.168465578,0.079863092,0.096370287,0.07546889,0.052699971
"""Cf_Appalachian_Joy""",NA,NA,NA,NA,0.064816063,0.062584482,0.067439978,0.068439525,0.07227616,0.067911255,0.07995678,0.077513121,0.066558442,0.076476152,0.086353226,0.070759201,0.069904241,0.15403423,0.093859886,0.075479341,0.068461643,0.072004299,0.070803607,0.080330534,0.084338983,0.072266415,0.074743659,0.073964098,0.063370664,0.066576819,0.063786839,0.062982527,0.088211382,0.073447856,0.077874422,0.076579624,0.080534197,0.067458176,0.067734985,0.065487443,0.098783784,0.082429195,0.062088297,0.071443896,0.070671378,0.066817156,0.066954644,0.074094178,0.067597456,0.062965471,0.077261753,0.15649021,0.07371704,0.095231436,0.068054325,0.072904707
"""Cf_Jeans_Appalachian_Snow""",NA,NA,NA,NA,NA,0.065392896,0.065556153,0.06829793,0.07071927,0.061262959,0.08152832,0.077026122,0.06361186,0.076964478,0.090762837,0.072501014,0.066857298,0.155046528,0.09375,0.073069174,0.067716747,0.068029939,0.070902024,0.081973844,0.085436631,0.071256039,0.079237174,0.078710544,0.066612289,0.066863588,0.065800054,0.060528444,0.091546447,0.073650195,0.079940484,0.079170594,0.079463087,0.067284448,0.066353887,0.065985755,0.098801992,0.08401122,0.061993856,0.071657754,0.073191204,0.063165791,0.068942346,0.066981769,0.069767442,0.064968325,0.075629064,0.157256318,0.067024129,0.094402673,0.069452619,0.073920503
"""Cf_Cherokee_Princess""",NA,NA,NA,NA,NA,NA,0.066963083,0.007811448,0.071370859,0.064398542,0.084546926,0.073347663,0.066432622,0.0802644,0.083927371,0.070565884,0.069389428,0.150114811,0.092530055,0.073210193,0.069836553,0.07027897,0.069767442,0.079242732,0.08849797,0.070803607,0.079057239,0.075400566,0.070620314,0.064216478,0.064650538,0.064747229,0.096159048,0.075064129,0.079918589,0.072393301,0.078217555,0.07112069,0.071390159,0.0690213,0.097679439,0.082301632,0.063838723,0.073756432,0.071680376,0.068861825,0.066181426,0.068400379,0.06647359,0.06565793,0.076378064,0.151997684,0.06976086,0.090883708,0.004862237,0.074222668
"""Cf_Kays_Appalachian_Mist""",NA,NA,NA,NA,NA,NA,NA,0.064685315,0.070142435,0.068013468,0.078373283,0.073726542,0.061631827,0.073660113,0.079597315,0.034520103,0.065685473,0.151046145,0.0918766,0.070496435,0.065498652,0.071074823,0.074178404,0.079352227,0.080540541,0.06677415,0.079435484,0.071005917,0.066367469,0.063423811,0.063815525,0.062609634,0.086627985,0.071544058,0.081245768,0.076560183,0.073491872,0.072426767,0.067739772,0.065392896,0.093615302,0.081999438,0.063443264,0.07176521,0.072773109,0.063082007,0.06282793,0.065405405,0.064960088,0.058974359,0.081670205,0.151878613,0.074925921,0.092530658,0.067659198,0.059488059
"""Cf_Karens_Appalachian_Blush""",NA,NA,NA,NA,NA,NA,NA,NA,0.072370191,0.066091179,0.08276048,0.033548041,0.07288433,0.080188679,0.047689414,0.07387827,0.069723018,0.151936872,0.080399299,0.069880167,0.073684211,0.062022773,0.051805127,0.082151061,0.063962137,0.051619841,0.080193757,0.074572621,0.073968124,0.069795589,0.069414608,0.068197164,0.089435288,0.073924187,0.081751627,0.076123633,0.079903148,0.070073974,0.068511553,0.069485591,0.067808035,0.069551777,0.060856184,0.076989063,0.075294118,0.07046274,0.053439225,0.068750846,0.04589938,0.064703499,0.078034273,0.153812762,0.068833922,0.071548117,0.04669318,0.037773644
"""Cf_Appalachian_Spring_Maryland""",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063182002,0.075090836,0.07075851,0.065050505,0.072389666,0.085154888,0.071873308,0.069491756,0.152722063,0.09161951,0.072734606,0.072208002,0.06727297,0.064485856,0.08323216,0.083457124,0.070498187,0.070295699,0.066657707,0.065226254,0.066747247,0.067301247,0.066208198,0.084176447,0.076084029,0.078245567,0.070619946,0.074402364,0.072253559,0.071466881,0.068960882,0.096700337,0.081403509,0.063957548,0.072497861,0.075658447,0.06753519,0.065626681,0.062702703,0.069098417,0.066648678,0.079813533,0.15301257,0.072809369,0.088870316,0.07109214,0.072888381
"""Cf_Grovflor_Spring_Grove""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080825799,0.073223163,0.063142239,0.072835177,0.081909886,0.065960912,0.068607353,0.149095088,0.093353148,0.069165431,0.064315633,0.067569379,0.065752319,0.081157852,0.088434453,0.067456577,0.073719677,0.067511117,0.066421167,0.064368435,0.066406775,0.063294563,0.089297795,0.075219446,0.074280282,0.074854749,0.072861953,0.067070707,0.066299086,0.06366334,0.096138266,0.081879572,0.059210526,0.068743287,0.07216321,0.062133293,0.061362104,0.061078007,0.069821995,0.062592943,0.071803604,0.153188406,0.060820368,0.092077686,0.067789101,0.071438818
"""Cf_Pluribracheata_(2)""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080413478,0.083592167,0.083569214,0.093170207,0.082180635,0.089692833,0.167479908,0.108140948,0.082715883,0.081533477,0.078005629,0.080972204,0.094497769,0.098092274,0.080204549,0.089538172,0.081874495,0.081221041,0.081819405,0.076189196,0.077297297,0.101419878,0.084469033,0.088726089,0.082872182,0.08923284,0.083187508,0.081821846,0.082738175,0.1072585,0.0954456,0.078321678,0.086266094,0.079164561,0.077443609,0.078550256,0.078922431,0.080540615,0.078794432,0.093240754,0.167414267,0.081788595,0.103977669,0.084550686,0.081673592
