"row","variable","value"
"""Cf_H3G2R01P14""","""Cf_H4AR15P28""",0.00322807
"""Cf_Double_Pink""","""Cf_Cherokee_Chief_(2)""",0.003396278
"""Cf_Double_Pink""","""Cf_Spring_Song""",0.003532609
"""Cf_Cherokee_Princess""","""Cf_ssp._urbiniana_SpringMeadow""",0.004862237
"""Cf_Cherokee_Chief_(2)""","""Cf_Purple_Glory""",0.005762107
"""Cf_Cherokee_Chief_(2)""","""Cf_66345P_Missouri""",0.005869014
"""Cf_Spring_Song""","""Cf_Jaunita""",0.006176984
"""Cf_Little_Princess""","""Cf_Dixie_Colonnade""",0.006200556
"""Cf_Cherokee_Chief_(2)""","""Cf_66345L_Missouri""",0.006687174
"""Cf_Cherokee_Chief_(2)""","""Cf_Spring_Song""",0.006692545
"""Cf_Cherokee_Chief_(2)""","""Cf_Powell_Peach_(2)""",0.006702795
"""Cf_Cherokee_Chief_(2)""","""Cf_Sweetwater_Red_USNA""",0.006808392
"""Cf_Cherokee_Chief_(2)""","""Cf_rubra_H4A""",0.006830967
"""Cf_Cherokee_Princess""","""Cf_Karens_Appalachian_Blush""",0.007811448
"""Cf_ssp._urbiniana_Rutgers""","""Cf_ssp._urbiniana_USNA""",0.011512679
"""Cf_Pygmaea""","""Cf_H4AR15P35""",0.024352258
"""Cf_Cherokee_Chief_(2)""","""Cf_Red_Pygmy""",0.024442654
"""Cf_Pygmaea""","""Cf_Red_Beauty""",0.025876232
"""Cf_Double_Pink""","""Cf_Powell_Peach_(2)""",0.026395939
"""Cf_Spring_Song""","""Cf_Red_Pygmy""",0.027150538
"""Cf_Red_Beauty""","""Cf_Red_Pygmy""",0.027965415
"""Cf_D9999-0570.001_Ohio""","""Cf_D9999-0569.001_Ohio""",0.028505497
"""Cf_Spring_Song""","""Cf_Powell_Peach_(2)""",0.028701985
"""Cf_66345P_Missouri""","""Cf_66345L_Missouri""",0.028948773
"""Cf_66345P_Missouri""","""Cf_Sweetwater_Red_USNA""",0.029811425
"""Cf_H4AR15P25""","""Cf_Cloud_Nine""",0.030080305
"""Cf_Cherokee_Chief_(2)""","""Cf_H4AR15P28""",0.033020848
"""Cf_H3G2R01P14""","""Cf_Red_Beauty""",0.033152909
"""Cf_Karens_Appalachian_Blush""","""Cf_Cherokee_Chief_(2)""",0.033548041
"""Cf_Red_Beauty""","""Cf_H4AR15P28""",0.033704696
"""Cf_H4AR15P25""","""Cf_White_Cloud""",0.034245652
"""Cf_Kays_Appalachian_Mist""","""Cf_Cloud_Nine""",0.034520103
"""Cf_rubra_H4A""","""Cf_Purple_Glory""",0.034672537
"""Cf_66345L_Missouri""","""Cf_Sweetwater_Red_USNA""",0.035158421
"""Cf_66345P_Missouri""","""Cf_rubra_H4A""",0.035962567
"""Cf_Purple_Glory""","""Cf_Sweetwater_Red_USNA""",0.036368802
"""Cf_Cherokee_Chief_(2)""","""Cf_Red_Beauty""",0.03650815
"""Cf_Spring_Song""","""Cf_Red_Beauty""",0.036827195
"""Cf_Cloud_Nine""","""Cf_Powell_Peach_(2)""",0.037010369
"""Cf_Spring_Song""","""Cf_H4AR15P28""",0.03713565
"""Cf_Double_Pink""","""Cf_Purple_Glory""",0.037543615
"""Cf_Karens_Appalachian_Blush""","""Cf_Powell_Peach_(2)""",0.037773644
"""Cf_D9999-0570.001_Ohio""","""Cf_D9999-0573.001_Ohio""",0.038325632
"""Cf_Comco_No1_Cherokee_Brave""","""Cf_Spring_Song""",0.038612654
"""Cf_Purple_Glory""","""Cf_Powell_Peach_(2)""",0.039086517
"""Cf_Double_Pink""","""Cf_Jaunita""",0.039258451
"""Cf_D9999-0573.001_Ohio""","""Cf_D9999-0569.001_Ohio""",0.039394345
"""Cf_rubra_H4A""","""Cf_Powell_Peach_(2)""",0.039605376
"""Cf_rubra_H4A""","""Cf_Sweetwater_Red_USNA""",0.039783002
"""Cf_66345L_Missouri""","""Cf_Purple_Glory""",0.040642592
"""Cf_Comco_No1_Cherokee_Brave""","""Cf_rubra_H4A""",0.040796964
"""Cf_66345L_Missouri""","""Cf_rubra_H4A""",0.041923386
"""Cf_Red_Pygmy""","""Cf_H4AR15P28""",0.042287159
"""Cf_Red_Pygmy""","""Cf_Powell_Peach_(2)""",0.042537955
"""Cf_Cherokee_Chief_(2)""","""Cf_H3G2R01P14""",0.043542535
"""Cf_H4AR15P28""","""Cf_Jaunita""",0.043685911
"""Cf_White_Cloud""","""Cf_H4AR15P35""",0.044472327
