"","Cf_H4AR15P25","Cf_Double_Pink","Cf_Comco_No1_Cherokee_Brave","Cf_Appalachian_Joy","Cf_Jeans_Appalachian_Snow","Cf_Cherokee_Princess","Cf_Kays_Appalachian_Mist","Cf_Karens_Appalachian_Blush","Cf_Appalachian_Spring_Maryland","Cf_Grovflor_Spring_Grove","Cf_Pluribracheata_(2)","Cf_Cherokee_Chief_(2)","Cf_Little_Princess","Cf_First_Lady_(2)","Cf_Spring_Song","Cf_Cloud_Nine","Cf_Pygmaea","Cf_Bonnie","Cf_ssp._urbiniana_Rutgers","Cf_H3G2R01P14","Cf_50820H_Missouri","Cf_50847J_Missouri","Cf_66345P_Missouri","Cf_66345L_Missouri","Cf_66345J_Missouri","Cf_81390J_Texas","Cf_Red_Beauty","Cf_rubra_H4A","Cf_18-2000*A_North_Carolina","Cf_Xanthocarpa","Cf_Fastigiata","Cf_435-2011*A_New_York","Cf_29-68*A_Toronto","Cf_D9999-0570.001_Ohio","Cf_D9999-0573.001_Ohio","Cf_D9999-0569.001_Ohio","Cf_Encore","Cf_Xanthocarpa_Rutgers","Cf_321-51*70_Michigan","Cf_762-2015*1_Georgia","Cf_227-2000*1_Ontario","Cf_439-71*6_Michigan","Cf_439-71*4_Michigan","Cf_321-51*68_Michigan","Cf_321-51*85_Michigan","Cf_1986-235*G_Maryland","Cf_ssp._urbiniana_Morris","Cf_2016-166_Pennsylvania","Cf_2019-097_Arkansas","Cf_2000-290*A_Virgina","Cf_White_Cloud","Cf_Super_Princess","Cf_Red_Pygmy","Cf_1992-545*D_Pennsylvania","Cf_H4AR15P28","Cf_H4AR15P35","Cf_Dixie_Colonnade","Cf_Rainbow","Cf_50832-V_Georgia","Cf_63266-001_Maryland","Cf_Fragrant_Cloud","Cf_Jaunita","Cf_Ozark_Spring","Cf_Pluribracteata_Group","Cf_Purple_Glory","Cf_Springtime","Cf_Sterling_Silver","Cf_ssp._urbiniana_USNA","Cf_Super","Cf_Sweetwater_Red_USNA","Cf_77991-H_Tennessee","Cf_82150-J_Ohio","Cf_ssp._urbiniana_SpringMeadow","Cf_Powell_Peach_(2)"
"Cf_H4AR15P25","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Double_Pink","0.357485604606526","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Comco_No1_Cherokee_Brave","0.280993992353905","0.268449931412894","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Appalachian_Joy","0.280116800217303","0.341961480672039","0.288126361655773","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Jeans_Appalachian_Snow","0.284083231995676","0.344017966516946","0.293140843161177","0.260072766473521","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Cherokee_Princess","0.28802874186551","0.341315322690681","0.294657422512235","0.258245471749121","0.259755113024758","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Kays_Appalachian_Mist","0.268591130340725","0.340166167256878","0.279693226550835","0.266927434583221","0.270620634067706","0.272500673672864","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Karens_Appalachian_Blush","0.311416576381365","0.261447260834015","0.280260834125798","0.28435475161987","0.28724119386932","0.181885521885522","0.284628832705756","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Appalachian_Spring_Maryland","0.296714440237966","0.333946078431373","0.294317102943171","0.27002427184466","0.27361782071927","0.273094532722866","0.276068261220102","0.289278988431531","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cf_Grovflor_Spring_Grove","0.283681214421252","0.336407103825137","0.288367346938776","0.26366341991342","0.261613033526323","0.265222087214797","0.275555555555556","0.285203668734826","0.263640037720598","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
