	Ssp
1	chinensis
2	chinensis
3	chinensis
4	chinensis
5	chinensis
6	chinensis
7	chinensis
8	chinensis
9	chinensis
10	chinensis
11	chinensis
12	chinensis
13	chinensis
14	chinensis
15	chinensis
16	chinensis
17	chinensis
18	chinensis
19	chinensis
20	chinensis
21	chinensis
22	chinensis
23	chinensis
24	chinensis
25	chinensis
26	chinensis
27	chinensis
28	chinensis
29	chinensis
30	chinensis
31	chinensis
32	chinensis
33	chinensis
34	chinensis
35	chinensis
36	chinensis
37	chinensis
38	chinensis
39	chinensis
40	chinensis
41	kousa
42	kousa
43	kousa
44	kousa
45	kousa
46	kousa
47	kousa
48	kousa
49	kousa
50	kousa
51	kousa
52	kousa
53	kousa
54	kousa
55	kousa
56	kousa
57	kousa
58	kousa
59	kousa
60	kousa
61	kousa
62	kousa
63	kousa
64	kousa
65	kousa
66	kousa
67	kousa
68	kousa
69	kousa
70	kousa
71	kousa
72	kousa
73	kousa
74	kousa
75	kousa
76	kousa
